iso3c,year,cc_est,ge_est,pv_est,rq_est,rl_est,va_est,state_capacity_wgi
GTM,2014,-0.756552994,-0.762856305,-0.655563533,-0.284290075,-0.956323862,-0.337663442,-0.6900058090000001
GTM,2015,-0.781392336,-0.769879937,-0.6544379,-0.325637251,-0.954106927,-0.346461207,-0.7077541127500001
GTM,2016,-0.791301847,-0.654102445,-0.545003712,-0.29981479,-1.032064795,-0.290387779,-0.69432096925
GTM,2017,-0.787501216,-0.692473888,-0.651365459,-0.369947046,-1.077288628,-0.279698879,-0.7318026945
GTM,2018,-0.82176429,-0.717763662,-0.538147449,-0.291999519,-1.075736046,-0.353723645,-0.7268158792499999
GTM,2019,-0.915584147,-0.726514339,-0.577340841,-0.33517915,-1.100427151,-0.333453029,-0.7694261967500001
GTM,2020,-1.134097815,-0.713372231,-0.415829301,-0.270502895,-1.10039258,-0.378492922,-0.8045913802500001
GTM,2021,-1.192652345,-0.7828632,-0.395517915,-0.327891737,-1.110256553,-0.46514231,-0.85341595875
GTM,2022,-1.210148692,-0.907798588,-0.262850881,-0.291810006,-1.127463579,-0.522613764,-0.88430521625
GTM,2023,-1.121612906,-0.897167265,-0.244364932,-0.290354937,-1.07527709,-0.533699274,-0.8461030494999999
GUY,2000,-0.420879841,-0.052148212,-0.486819774,-0.130214244,-0.423614681,0.464220554,-0.2567142445
GUY,2002,-0.26159507,-0.17941758,-0.561520338,-0.346247435,-0.517882884,0.542352378,-0.32628574225
GUY,2003,-0.357633144,-0.022933019,-0.436319321,-0.340948224,-0.575900853,0.428198814,-0.32435381
GUY,2004,-0.400268286,-0.040472262,-0.554896176,-0.387165576,-0.619943142,0.066932872,-0.3619623165
GUY,2005,-0.558261573,-0.500283241,-0.454965949,-0.495723665,-0.663847804,-0.228859812,-0.5545290707499999
GUY,2006,-0.583094895,-0.292215288,-0.734118462,-0.613583863,-0.564467251,0.091823734,-0.51334032425
GUY,2007,-0.592017114,-0.013545465,-0.55968678,-0.620565355,-0.457055211,0.100955948,-0.42079578625
GUY,2008,-0.556314647,-0.177931428,-0.633931935,-0.586162806,-0.580651641,0.11215499,-0.4752651305
GUY,2009,-0.539242208,-0.181886002,-0.629981041,-0.623867869,-0.555844963,0.092698015,-0.47521026050000004
GUY,2010,-0.562469244,-0.122200236,-0.458965749,-0.605241239,-0.477120876,0.066198379,-0.44175789875000004
GUY,2011,-0.619942248,-0.082134813,-0.434282511,-0.678618312,-0.510029078,0.02947429,-0.47268111275
GUY,2012,-0.761781573,-0.100731432,-0.49961406,-0.626173019,-0.518265724,-0.002288182,-0.501737937
GUY,2013,-0.651954174,-0.102227435,-0.456606746,-0.608322561,-0.524507463,0.021201981,-0.47175290825000005
GUY,2014,-0.741052151,-0.221426651,-0.136097595,-0.528059959,-0.614713907,0.156047061,-0.526313167
GUY,2015,-0.657630563,-0.330193788,-0.139641345,-0.530868948,-0.541080117,0.183893636,-0.514943354
GUY,2016,-0.348007828,-0.283567518,-0.034218926,-0.430909157,-0.313425392,0.253121465,-0.34397747375000004
GUY,2017,-0.531101525,-0.281807274,-0.049440186,-0.401308507,-0.299223602,0.277443737,-0.37836022699999994
GUY,2018,-0.250006974,-0.254847735,-0.191837907,-0.540220737,-0.383601844,0.223182663,-0.3571693225
GUY,2019,-0.142694622,-0.395576239,-0.254073828,-0.611618996,-0.445168942,0.253580123,-0.39876469975
